Call Ratio,Average Call Distance,Life,Max Distance,Max Date,Min Date,No of Days,Total No In,Total No Out,Total Cost,Total Duration In,Total Duration Out
0.45,1.323,38,7.92,734502,734411,47,69,56,76340,2493,1833
0.51,0.643,59,4.01,734500,734411,65,131,139,81596,5881,5199
0.46,0.6,58,6.019,734500,734412,66,147,127,95100,7316,5234
0.5,0.152,82,3.008,734502,734411,84,602,602,386600,26600,21524
0.48,0.294,82,3.008,734502,734411,82,311,292,197948,13527,11952
0.48,0.628,65,3.828,734501,734411,68,144,133,102540,7780,4179
0.48,0.347,76,3.028,734500,734411,78,256,236,137784,12629,8153
0.47,0.168,32,29.999,734481,734411,36,418,376,248800,16884,15338
0.5,0.208,54,4.01,734501,734442,59,284,286,192456,13827,9891
0.48,0.364,76,3.036,734502,734411,78,251,233,149944,11221,9886
0.49,0.397,74,3.01,734500,734411,78,225,212,141548,8215,7032
0.48,0.215,84,3.009,734500,734411,89,415,382,244028,18283,13405
0.5,0.213,86,3.006,734502,734411,87,425,428,340612,18812,17060
0.48,0.603,61,7.024,734500,734411,64,148,137,80004,5497,4761
0.49,0.239,83,3.013,734502,734412,86,378,366,312856,16358,15876
0.51,0.213,86,3.008,734502,734411,87,421,430,240604,21364,15435
0.48,0.179,82,3.006,734502,734411,87,511,476,357484,20629,21635
0.52,0.889,51,6.019,734496,734411,52,90,96,59860,5209,4013
0.48,0.159,88,3.006,734502,734411,88,575,539,303940,25867,21133
0.5,0.335,68,4.01,734501,734412,79,262,266,156488,11078,10324
0.51,0.181,82,4.008,734502,734411,83,487,504,358964,21051,22754
0.43,2.42,23,22.973,734501,734414,29,36,27,24744,1609,877
0.57,4.299,17,10.883,734501,734411,21,16,21,44272,1149,655
0.46,1.062,49,6.031,734502,734415,50,82,71,79492,3775,2678
0.49,0.394,78,3.013,734502,734411,80,231,225,175292,9252,10027
0.52,0.762,57,4.015,734499,734411,60,105,116,75764,5858,4436
0.47,0.356,68,3.01,734501,734411,78,254,223,117368,11651,7527
0.49,0.411,68,4.01,734501,734411,79,220,212,96464,10860,8020
0.52,0.574,65,5.018,734499,734411,68,143,154,120660,6722,5769
0.43,1.393,35,9.05,734501,734412,35,64,48,20648,2664,1397
0.49,0.411,76,5.011,734501,734411,79,220,211,111504,9272,6797
0.43,1.157,36,8.917,734501,734411,46,78,60,100296,3283,2364
0.5,0.417,69,4.005,734502,734411,75,215,219,95880,8315,7006
0.44,3.003,15,13.189,734497,734416,21,27,21,23412,1398,714
0.53,1.254,40,7.016,734501,734411,43,64,72,47776,2446,3255
0.5,0.228,84,3.008,734502,734411,86,394,401,227388,19875,16357
0.45,2.128,32,9.063,734498,734413,34,40,33,48656,2845,2144
0.47,1.493,30,8.879,734494,734412,36,55,48,34548,2275,1859
0.4,2.107,17,13.908,734490,734431,21,28,19,20084,1023,637
0.43,1.385,30,8.023,734498,734415,42,60,45,39452,2955,2137
0.53,0.783,46,4.014,734501,734415,54,96,110,87756,4127,4526
0.48,0.421,72,4.013,734502,734411,76,217,198,96552,10321,6387
0.49,0.812,50,5.033,734500,734411,54,110,104,66724,5779,3647
0.46,2.053,28,7.025,734499,734411,29,43,37,18916,1894,1018
0.5,0.72,57,5.019,734500,734411,68,124,124,88172,7456,5492
0.42,1.932,21,12.896,734499,734416,33,43,31,25388,1896,1465
0.48,1.256,43,6.875,734496,734412,44,67,62,33892,3846,2553
0.55,0.93,50,13.066,734501,734411,52,80,97,87700,4831,4504
0.5,1.197,42,8.022,734501,734412,46,75,75,43492,4384,2761
0.46,2.153,29,12.317,734500,734414,29,40,34,35484,1247,1435
0.46,1.75,39,9.102,734500,734411,39,51,44,40088,2124,2110
0.47,0.716,60,5.01,734498,734411,62,122,110,64252,5911,3847
0.47,1.747,27,14.924,734497,734415,31,47,42,66308,1982,1953
0.47,0.652,63,4.015,734500,734411,65,137,122,68512,7288,4087
0.51,1.016,39,7.026,734498,734411,53,84,86,51828,6919,2656
0.47,1.003,50,6.025,734499,734411,54,88,79,40864,6669,1897
0.5,0.403,76,3.013,734501,734411,83,216,214,90196,13743,7278
0.47,0.764,49,6.013,734500,734411,58,117,104,42480,6054,2920
0.52,0.9,55,4.262,734500,734412,59,90,98,81324,4693,4611
0.49,0.696,59,7.016,734499,734411,60,127,122,69772,7530,4419
0.47,3.124,20,15.069,734493,734415,20,25,22,31124,820,641
0.47,3.799,18,16.33,734498,734411,18,23,20,34448,1315,625
0.45,1.028,43,11.035,734499,734411,49,86,69,63620,4398,2197
0.47,1.227,39,8.035,734500,734413,43,71,63,44104,2876,1582
0.52,0.939,47,6.022,734501,734412,49,87,95,94612,3815,4361
0.47,0.323,75,4.015,734500,734411,76,277,246,195440,13800,10166
0.49,0.395,73,3.013,734501,734411,73,228,221,182072,9593,9924
0.51,0.443,69,3.008,734501,734411,72,196,204,128892,10844,7457
0.46,0.286,82,3.012,734501,734411,83,377,317,144736,14587,10640
0.52,0.478,64,4.011,734500,734411,71,174,187,131064,8899,9093
0.5,0.391,68,3.007,734499,734411,78,223,226,197160,14629,12840
0.47,1.219,42,7.02,734498,734414,43,69,61,35624,3780,2479
0.43,3.816,15,19.964,734492,734412,19,21,16,9792,982,492
0.48,1.077,48,10.871,734498,734413,51,79,73,134836,2581,3391
0.47,0.801,46,7.019,734499,734415,54,105,94,77024,3633,4592
0.45,1.391,32,7.041,734500,734418,40,59,49,46576,2303,1863
0.46,2.935,21,12.865,734498,734413,24,29,25,46048,2037,924
0.51,0.217,78,3.006,734500,734411,88,397,411,295116,20038,21108
0.5,1.208,49,5.021,734500,734412,51,72,73,73048,2712,3286
0.48,0.859,53,6.019,734500,734411,58,104,97,96348,6296,5979
0.49,0.279,79,3.006,734501,734411,80,324,310,187148,17061,11045
0.51,0.608,61,6.04,734500,734411,61,142,147,98096,11947,5644
0.52,0.519,61,5.023,734501,734411,65,163,174,124408,16578,7627
0.48,0.575,57,6.022,734502,734411,67,159,148,107212,15259,5760
0.48,0.592,54,4.01,734499,734411,65,149,136,48724,19291,3671
0.52,0.593,71,3.014,734502,734411,78,145,154,70228,17219,5405
0.48,0.403,66,6.017,734500,734412,73,219,206,82388,18969,5379
0.47,0.58,62,3.257,734500,734412,70,152,136,117052,9025,6086
0.45,1.092,48,7.017,734500,734416,59,77,64,70684,7989,1794
0.44,3.105,13,12.049,734496,734437,15,19,15,8808,1594,475
0.52,1.548,35,7.024,734498,734413,38,50,55,66844,6119,2438
0.48,0.485,63,4.015,734500,734411,72,184,171,127924,18503,7216
0.49,0.325,78,3.011,734502,734411,82,281,265,182824,25226,12967
0.45,5.418,10,25.119,734500,734435,11,12,10,25868,488,271
0.52,0.464,30,39.258,734481,734411,31,219,236,134152,19683,8680
0.51,0.29,56,3.024,734502,734442,58,203,208,128412,8633,8025
0.42,2.848,17,17.942,734500,734426,21,26,19,37792,2851,924
0.49,0.501,63,3.013,734501,734413,67,170,162,95456,15502,5810
0.53,0.857,46,7.027,734499,734411,57,93,103,76052,14717,3510
0.48,1.21,43,6.021,734501,734414,46,68,64,23508,9835,1993
0.53,0.632,52,6.019,734501,734411,59,129,143,72628,9865,5198
0.51,0.961,54,6.026,734501,734411,54,90,94,88336,11048,4630
0.49,0.852,52,4.01,734501,734411,57,104,100,105812,7978,5924
0.47,2.722,24,16.066,734502,734415,25,31,28,76188,2469,932
0.52,1.335,39,8.034,734501,734413,43,60,66,92384,4362,4143
0.48,0.729,52,6.047,734499,734416,54,114,104,52860,9378,3978
0.48,0.519,55,4.017,734500,734412,63,165,154,104708,18796,8115
0.49,0.246,67,3.015,734502,734411,82,367,356,159992,37395,11584
0.51,0.594,68,4.14,734501,734411,72,145,152,80004,18724,6472
0.44,1.883,32,7.176,734501,734411,36,48,38,84152,5663,1374
0.42,2.487,19,12.061,734501,734419,27,33,24,41328,2499,755
0.51,0.606,48,4.03,734501,734411,69,144,149,93436,16856,6798
0.46,3.549,15,23.093,734494,734416,16,22,19,10024,3341,386
0.5,0.288,80,3.007,734501,734411,82,311,305,202684,23018,14801
0.5,0.523,67,5.014,734500,734411,67,167,164,109796,11403,7829
0.44,3.58,15,10.898,734499,734431,16,19,15,26972,865,519
0.5,2.837,24,14.046,734499,734414,25,27,27,22596,1962,786
0.42,0.471,63,4.004,734500,734412,70,186,132,77880,10348,5188
0.45,2.594,19,10.034,734499,734429,23,27,22,13984,2359,903
0.54,0.607,70,4.013,734500,734411,76,127,147,87144,4680,6013
0.29,0.28,63,6.024,734500,734414,71,304,122,48092,16405,3127
0.54,1.016,11,7.026,734484,734426,13,12,14,6068,302,289
0.5,1.003,6,6.025,734500,734429,6,6,6,52676,173,337
0.44,2.609,15,25.945,734491,734431,19,22,17,25500,1252,399
0.32,0.559,42,9.023,734500,734414,58,153,73,31044,7615,2002
0.55,4.475,15,14.926,734491,734415,17,14,17,29656,802,933
0.36,0.161,86,3.007,734502,734411,89,564,324,281544,30669,15466
0.4,0.313,65,4.013,734502,734415,79,272,183,92640,11806,6328
0.62,1.502,34,11.917,734501,734417,37,34,56,23776,1675,1772
0.39,0.433,58,5.011,734499,734415,69,193,125,97144,11140,3731
0.42,0.176,80,3.005,734501,734411,87,505,368,203612,23292,14585
0.42,3.473,12,18.082,734498,734446,14,15,11,116216,503,225
0.53,6.402,8,20.972,734495,734431,10,9,10,17448,423,913
0.43,0.208,41,13.041,734499,734411,43,424,317,270260,13115,17338
0.5,8.572,7,21.967,734485,734425,7,7,7,17772,316,241
0.47,0.105,89,3.005,734502,734411,89,859,747,377068,40462,28241
0.43,4.251,11,24.21,734502,734434,15,16,12,10052,1350,388
0.5,6.506,12,19.955,734496,734418,16,12,12,8748,414,544
0.42,0.635,47,5.022,734499,734414,55,134,99,45152,6517,3032
0.54,5.808,14,21.081,734500,734413,18,13,15,141492,688,556
0.47,1.768,33,9.046,734500,734417,34,47,42,110204,2508,1218
0.45,3.338,15,12.045,734493,734413,15,24,20,15988,942,629
0.43,1.267,43,5.024,734499,734413,43,68,52,20836,3456,1478
0.53,0.112,83,3.006,734501,734411,87,721,806,471456,32926,34807
0.43,0.108,87,3.003,734502,734411,88,846,639,380480,38847,26502
0.43,1.405,35,9.038,734500,734413,41,62,46,20712,2891,1562
0.46,1.787,35,9.026,734500,734411,39,50,42,26884,1971,1598
0.46,5.468,8,27.132,734484,734413,12,13,11,10156,325,225
0.41,3.715,15,21.955,734485,734411,17,20,14,16784,740,682
0.55,9.331,7,63.022,734478,734429,11,10,12,177716,609,473
0.58,4.505,16,13.049,734496,734415,18,13,18,26036,463,523
0.51,1.794,34,8.025,734499,734413,34,47,48,58844,1760,1781
0.46,1.579,27,13.044,734499,734417,37,52,44,308016,2109,2204
0.52,0.076,90,3.006,734502,734411,90,1103,1199,869728,49846,52868
0.49,0.811,56,4.022,734499,734411,63,109,106,180092,4445,10360
0.46,0.32,73,5.011,734500,734411,78,279,233,111364,10942,8460
0.49,0.066,90,3.005,734502,734411,93,1373,1342,893164,67732,65502
0.51,0.156,86,3.008,734502,734411,87,565,585,320176,23589,23086
0.51,4.794,14,16.945,734497,734411,17,17,18,73540,1477,591
0.47,3.63,18,16.065,734501,734414,22,24,21,25908,1271,639
0.46,0.268,76,3.009,734501,734411,77,337,284,130812,11991,9787
0.53,1.237,37,12.054,734496,734411,38,61,69,123804,3058,3597
0.45,0.158,82,3.009,734502,734411,87,576,467,273516,27023,16167
0.53,1.075,44,7.024,734501,734411,48,75,84,83328,2932,3316
0.47,1.458,37,7.026,734501,734418,37,57,51,64168,2782,2053
0.53,0.136,87,3.008,734502,734411,89,597,672,396164,21655,23128
0.48,0.18,84,3.008,734502,734411,86,508,473,219848,18245,16133
0.49,0.386,70,3.266,734501,734411,71,234,227,146152,8396,11000
0.53,0.496,66,3.022,734501,734411,70,159,182,156696,16878,11093
0.59,0.196,78,3,734500,734411,85,313,456,277040,13736,19856
0.45,4.44,12,17.066,734500,734429,14,16,13,7324,658,323
0.44,8.01,9,32.024,734494,734414,13,10,8,55456,280,288
0.39,2.565,15,12.119,734500,734441,20,23,15,14528,1067,684
0.53,2.076,30,9.031,734500,734415,34,37,41,36768,1325,1288
0.39,2.355,20,11.853,734497,734417,28,34,22,31980,2821,639
0.45,0.203,84,3.005,734501,734411,88,445,364,254252,16380,16057
0.54,1.869,32,7.034,734500,734416,35,39,45,173536,2358,1406
0.61,0.901,45,5.044,734498,734411,49,62,97,145484,2164,4572
0.4,0.573,51,4.883,734500,734411,65,156,105,112776,5901,4036
0.53,0.992,44,6.043,734498,734411,45,77,88,150252,5121,4412
0.45,4.053,16,20.098,734500,734415,17,21,17,30172,818,917
0.5,0.102,89,3.003,734502,734411,90,883,896,614760,52773,43326
0.4,0.138,86,3.007,734500,734412,88,631,414,294532,38054,21941
0.6,0.246,77,3.009,734501,734411,77,242,367,281868,11760,19693
0.49,0.193,84,3.008,734500,734411,87,455,434,310128,21970,23062
0.51,1.039,44,8.034,734500,734411,49,84,86,79684,3385,4555
0.41,3.211,18,15.935,734502,734425,22,24,17,22136,943,853
0.44,4.053,4,20.098,734499,734412,5,5,4,12752,208,28
0.54,5.004,13,13.067,734498,734423,13,13,15,12160,602,730
0.45,1.787,25,11.888,734491,734416,29,41,34,71996,2916,1291
0.49,2.052,22,13.044,734499,734417,28,39,37,93760,3135,1369
0.5,2.075,34,7.031,734500,734413,38,41,41,36160,2017,2347
0.42,0.718,48,5.02,734499,734413,58,118,87,54844,9551,3513
0.43,1.547,32,16.072,734499,734414,37,55,42,90392,1611,3288
0.5,0.422,76,3.01,734501,734411,77,211,209,151304,11320,12470
0.4,0.156,85,3.008,734501,734411,86,569,372,222164,28028,17633
0.41,4.888,13,31.006,734500,734417,14,17,12,6492,479,318
0.46,3.909,16,26.991,734500,734418,19,21,18,21600,779,1145
0.48,2.297,18,16.931,734490,734428,21,26,24,146764,1204,4733
0.49,2.004,32,9.042,734498,734412,35,40,39,29148,2100,1658
0.5,5.792,12,17.96,734499,734418,16,14,14,31328,816,523
0.48,3.531,12,17.056,734476,734423,13,14,13,49328,561,1396
0.54,2.075,26,12.943,734499,734412,29,36,42,22740,2247,1717
0.43,0.079,87,3.009,734501,734411,90,1093,813,419220,55636,29496
0.52,4.88,12,16.136,734496,734418,13,15,16,8808,831,670
0.49,0.461,65,5.014,734501,734411,75,192,188,95164,10319,6866
0.42,0.335,78,3.01,734501,734411,81,262,191,82268,13082,5883
0.44,4.053,4,20.098,734499,734412,8,8,8,4904,389,286
0.44,5.799,8,14.951,734499,734441,9,10,25,39400,282,310
0.45,2.779,19,13.041,734498,734412,21,31,13,11240,1467,542
0.48,5.435,14,17.949,734490,734414,18,14,19,27884,653,286
0.41,2.445,16,12.048,734493,734427,18,27,11,30836,948,617
0.38,4.226,12,14.065,734493,734417,16,18,42,35372,727,497
0.56,1.955,31,8.077,734500,734418,32,33,40,30848,1670,1796
0.58,0.369,81,3.007,734500,734412,85,174,239,464776,7107,8251
0.57,2.182,28,8.069,734499,734414,29,30,39,29848,1575,1759
0.47,0.648,53,5.014,734499,734413,62,130,114,73728,6332,5029
0.52,0.648,57,6.015,734500,734411,61,123,135,108608,5150,7292
0.44,4.215,15,12.04,734496,734416,16,19,15,45308,453,435
0.46,0.038,90,3.002,734502,734411,90,2267,1934,1126416,101000,85462
0.44,1.9,29,13.058,734500,734411,32,44,34,41136,2096,974
0.57,6.789,10,29.999,734499,734411,10,10,13,6088,410,375
0.58,3.525,17,16.869,734499,734418,21,17,23,20364,621,870
0.5,0.316,75,4.013,734502,734411,77,283,287,166452,14195,11502
0.56,1.535,23,25.97,734481,734412,28,35,45,48168,1161,1427
0.61,0.522,66,4.01,734502,734411,71,113,175,187508,5341,8964
0.52,2.932,21,17.08,734499,734417,22,26,28,22076,956,1327
0.43,1.825,29,8.03,734496,734414,31,45,34,24872,2048,1694
0.51,3.261,24,12.059,734502,734411,24,25,26,18344,1136,1049
0.5,0.396,75,4.006,734501,734411,78,225,226,156748,10398,9240
0.4,0.116,89,3.008,734502,734411,89,775,521,465728,33665,19466
0.46,3.502,18,15.074,734499,734429,21,20,17,12108,1350,553
0.57,5.52,16,24.116,734499,734411,17,12,16,10440,678,367
0.47,2.682,24,16.938,734488,734413,24,28,25,15312,2061,688
0.59,0.617,66,5.02,734500,734412,67,100,143,107084,5035,5391
0.45,0.062,90,3.008,734502,734411,94,1454,1167,742004,74789,49437
0.54,1.648,33,12.902,734492,734413,37,41,48,31324,1443,1767
0.45,1.742,30,14.925,734501,734414,36,50,41,60972,2742,1383
0.55,2.238,28,7.05,734498,734411,29,32,39,15792,1197,1343
0.51,0.343,79,3.008,734502,734411,81,253,266,237708,11916,13477
0.49,0.432,70,4.011,734500,734411,77,204,193,131212,12287,9818
0.54,2.175,35,9.051,734502,734411,39,36,42,27532,1315,1642
0.43,0.256,83,4.013,734502,734411,85,344,259,157040,16187,11060
0.52,1.603,30,8.037,734500,734412,35,51,55,113676,2564,1913
0.5,0.439,78,3.012,734501,734412,80,197,199,135132,8489,9306
0.41,4.064,9,29.002,734490,734425,14,16,11,15084,614,361
0.48,2.592,23,23.113,734502,734414,29,33,30,23140,1836,1182
0.51,3.437,21,9.29,734500,734411,25,25,26,20572,1030,894
0.62,0.2,85,3.008,734501,734411,89,272,451,291856,12436,19904
0.47,1.468,30,10.049,734499,734414,36,56,50,29344,2712,1632
0.47,2.935,22,11.045,734498,734413,23,29,26,24596,1041,1570
0.57,4.206,19,8.032,734497,734413,21,15,20,31976,2537,558
0.51,1.207,41,7.022,734502,734414,44,71,73,112788,2349,2839
0.55,0.525,64,5.018,734502,734411,68,145,174,137444,7487,8029
0.45,1.385,31,8.912,734497,734414,36,59,49,90072,2339,1463
0.49,1.532,41,7.018,734501,734411,42,59,56,39140,3529,1709
0.4,0.472,59,6.881,734502,734412,73,189,128,120840,9309,6381
0.49,0.152,88,3.009,734502,734411,92,591,576,285176,32547,19335
0.52,0.547,73,3.013,734500,734411,81,148,163,56324,5242,4177
0.49,0.178,82,3.009,734502,734411,86,507,486,223436,26457,15612
0.48,0.782,55,6.028,734499,734411,59,111,102,90540,5434,5736
0.53,0.368,81,3.01,734502,734411,84,223,248,140936,10323,9615
0.49,0.822,52,6.009,734501,734411,62,108,105,228368,5390,4683
0.42,2.246,20,14.06,734500,734417,28,37,27,14160,960,581
0.4,0.427,60,5.014,734499,734411,68,204,137,61356,8917,4979
0.47,0.992,43,6.019,734499,734411,52,88,77,47192,4203,2942
0.44,9.569,8,35.036,734500,734414,9,9,7,30452,235,556
0.57,2.008,29,8.118,734501,734411,30,34,45,37972,1986,2195
0.48,0.089,88,3.003,734501,734411,89,989,903,442848,45250,35396
0.44,1.178,38,8.033,734499,734412,43,72,56,25168,2183,1568
0.42,2.28,26,22.959,734500,734418,28,36,26,109788,1293,1461
0.59,1.41,39,6.688,734495,734412,40,41,59,63744,1482,1468
0.5,0.493,68,4.004,734502,734412,73,178,175,90688,8224,5690
0.56,1.985,26,13.042,734500,734411,29,35,45,35480,1293,1642
0.46,4.691,14,18.094,734498,734423,15,15,13,15656,385,423
0.5,1.576,33,12.943,734498,734413,38,52,52,32264,2845,1634
0.42,0.118,89,3.01,734501,734411,92,748,543,328132,35099,22137
0.46,0.262,81,3.007,734500,734411,86,337,291,200480,13467,12793
0.53,1.722,36,9.039,734499,734413,39,45,50,32292,1796,2193
0.58,1.676,37,9.916,734499,734412,37,38,52,32212,1407,1983
0.49,0.864,56,4.02,734500,734412,60,98,94,68484,4259,2825
0.34,0.784,39,5.016,734500,734411,53,113,59,39408,5126,1882
0.52,0.416,72,4.015,734500,734411,77,202,215,116424,7833,8202
0.53,0.587,65,4.016,734500,734411,71,134,152,130684,6101,5115
0.47,3.485,20,15.05,734500,734413,22,24,21,16464,1131,562
0.46,1.131,47,8.049,734500,734411,47,75,64,83872,3331,2270
0.53,0.676,58,5.894,734499,734412,62,113,129,97208,5222,6195
0.48,1.309,43,9.039,734501,734411,44,66,62,34972,3162,2389
0.43,3.132,17,17.058,734500,734428,20,23,17,49460,806,522
0.52,0.293,76,3.009,734500,734411,77,284,305,165100,11781,12804
0.54,1.04,45,7.028,734496,734411,45,71,82,110236,2820,2838
0.51,0.247,85,3.009,734502,734411,87,359,370,179816,19643,12698
0.45,1.025,42,5.017,734500,734412,46,86,69,32104,2935,2740
0.43,1.647,34,8.868,734498,734411,38,53,40,74820,2138,1433
0.51,0.418,86,8.049,734502,734411,86,349,369,183288,14938,12428
0.45,2.652,17,12.049,734500,734439,18,23,19,23612,588,713
0.51,0.165,82,3.006,734500,734411,89,518,541,243860,22423,17770
0.58,1.963,29,11.033,734499,734411,29,33,45,35340,1802,1952
0.54,2.134,26,10.042,734495,734414,28,32,38,22912,1283,1456
0.45,0.176,87,3.01,734501,734411,89,503,410,193560,25469,13858
0.44,1.448,42,7.701,734501,734412,46,60,48,20032,2210,1319
0.49,0.608,59,6.015,734500,734412,69,140,134,72812,7172,3386
0.49,0.894,52,5.017,734500,734411,59,99,95,43620,5592,2775
0.41,3.868,15,14.064,734500,734415,19,22,15,36176,1100,1309
0.35,1.377,32,11.927,734500,734412,35,64,35,22452,2427,1121
0.37,2.213,20,10.035,734500,734416,27,38,22,73108,1915,569
0.43,1.927,24,8.034,734500,734423,30,39,29,31612,1049,1119
0.48,0.604,67,6.037,734500,734411,68,147,134,117192,6473,7099
0.18,1.278,13,19.09,734502,734419,34,65,14,9288,3061,616
0.55,0.56,63,4.115,734501,734411,64,131,161,177276,6002,7633
0.46,1.362,35,6.897,734498,734415,42,61,53,105168,2650,3865
0.49,0.18,89,3.005,734502,734411,93,495,475,255100,20208,17890
0.5,0.809,61,3.03,734500,734412,66,102,102,112744,5377,4372
0.53,0.865,52,4.018,734499,734411,56,90,102,101732,3176,3867
0.44,2.882,18,16.955,734499,734427,21,25,20,194716,1898,654
0.47,0.25,86,3.008,734501,734411,88,355,319,337620,17057,13464
0.49,0.357,76,4.008,734501,734411,79,249,236,300304,9141,11209
0.42,1.117,41,11.048,734501,734414,51,75,54,56544,2700,2083
0.49,0.217,73,7.017,734500,734411,73,403,393,203336,20375,13965
0.5,0.201,81,3.009,734501,734411,86,447,440,206692,21096,13913
0.48,0.072,87,3.006,734502,734411,89,1249,1149,682884,63996,49406
0.46,0.062,89,3.005,734502,734411,89,1456,1249,634984,71638,45143
0.52,0.122,87,3.006,734502,734411,88,698,750,474784,37573,34390
0.46,0.277,78,5.017,734501,734411,81,322,273,162576,15819,9345
0.44,2.364,23,11.055,734500,734415,29,36,28,91128,1412,622
0.47,1.523,35,12.043,734499,734411,40,57,51,84900,1923,1610
0.6,2.162,24,13.915,734494,734412,27,25,38,67808,1059,658
0.45,1.654,28,15.073,734490,734414,39,44,36,28224,2029,937
0.41,1.541,31,8.033,734500,734411,37,57,39,177536,2222,1668
0.49,0.592,61,6.017,734500,734411,64,148,143,332712,5183,5733
0.48,0.131,87,3.004,734502,734411,87,677,632,342408,32970,23977
0.49,0.158,87,3.006,734502,734411,89,561,545,276992,27364,18751
0.53,0.217,81,3.01,734500,734411,88,361,411,436032,14348,15838
0.49,0.6,57,5.892,734500,734411,62,147,139,192100,7399,4324
0.48,0.079,85,3.007,734500,734411,88,1106,1005,702592,51054,37396
0.54,0.051,89,3.002,734502,734411,89,1540,1783,856752,65257,61968
0.45,1.355,28,10.656,734496,734411,40,62,50,27200,2280,1605
0.39,5.576,9,22.094,734498,734420,11,14,9,371612,586,323
0.57,0.053,89,3.002,734502,734411,90,1278,1718,962512,57778,63011
0.46,0.112,88,3.003,734502,734411,92,807,700,344720,36408,28328
0.5,0.064,87,3.003,734502,734411,89,1398,1381,997564,60128,53431
0.5,0.244,87,3.004,734501,734411,89,363,359,227560,19628,11724
0.47,5.131,12,17.944,734496,734414,15,16,14,104216,713,318
0.67,0.035,89,3.002,734502,734411,90,1290,2618,1352196,57448,97844
0.53,0.23,82,3.003,734500,734411,86,348,388,250884,14722,17010
0.47,0.969,50,8.021,734500,734412,52,89,80,50484,2990,2671
0.53,0.047,88,3.003,734502,734411,89,1713,1961,1046880,76548,75608
0.52,0.201,88,3.003,734501,734411,92,416,450,263952,17168,17241
0.47,0.109,87,3.003,734501,734411,89,812,722,650036,33985,27886
0.57,1.235,48,7.014,734502,734412,53,55,73,61036,2744,3665
0.48,0.392,75,3.008,734500,734411,81,223,202,119096,8908,6926
0.44,3.407,18,18.06,734497,734412,22,25,20,212736,1012,995
0.46,1.001,42,6.02,734501,734414,50,81,68,245476,3389,1796
0.48,0.46,62,4.014,734499,734411,70,189,174,224764,6907,7015
0.56,0.051,89,3.005,734502,734411,90,1411,1778,927588,69231,64165
0.47,1.208,42,6.038,734500,734411,44,72,63,34184,3210,1925
0.57,0.982,45,8.035,734500,734411,49,69,91,123740,2709,2906
0.52,0.063,89,3.003,734502,734411,89,1358,1460,780972,68036,55141
0.52,0.058,88,3.006,734501,734411,90,1433,1552,925564,62136,62508
0.45,0.095,86,3.003,734502,734411,89,946,773,697568,42182,32407
0.47,0.201,78,3.01,734500,734411,85,442,395,332016,20841,18122
0.45,1.539,27,12.056,734499,734416,35,51,42,24912,2617,1416
0.49,0.152,87,3.005,734502,734411,88,578,549,355936,30523,23983
0.46,1.205,41,7.016,734501,734412,48,74,63,40232,2544,2682
0.47,0.237,77,3.013,734502,734411,83,378,331,239512,14418,13508
0.55,0.056,89,3.006,734502,734411,93,1342,1636,889328,61442,65292
0.49,0.104,88,3.008,734501,734411,88,856,824,399904,40661,27819
0.48,6.254,11,24.106,734499,734424,12,12,11,24768,476,399
0.44,3.163,18,14.049,734499,734420,22,25,20,34840,1029,439
0.58,1.064,45,8.267,734498,734412,48,58,81,57708,2937,2544
0.52,0.256,76,3.006,734500,734411,83,319,349,179892,13310,11838
0.47,1.625,33,8.898,734500,734414,39,49,43,174632,1618,1367
0.43,2.127,24,13.052,734498,734411,33,40,30,78680,1600,1408
0.49,0.597,63,8.034,734502,734411,72,148,140,94648,5823,6050
0.5,0.413,72,5.017,734502,734411,74,213,214,159992,9937,9163
0.6,0.979,46,7.028,734500,734412,48,59,90,71800,2988,3612
0.66,1.076,46,8.033,734501,734411,52,44,84,78192,1606,3048
0.49,0.072,89,3.008,734501,734411,89,1243,1183,564864,63051,40351
0.58,0.198,83,3.007,734500,734411,86,332,451,265260,16219,16062
0.45,2.346,23,13.829,734500,734425,28,31,25,19772,1181,961
0.54,0.381,69,3.013,734502,734411,77,205,240,106588,9926,7410
0.32,0.188,67,4.011,734500,734412,83,459,219,121536,19317,7903
0.49,0.305,77,3.01,734500,734411,79,288,276,321592,12443,9491
0.55,0.979,54,6.024,734500,734412,57,75,90,92316,2509,3828
0.5,0.196,82,3.006,734500,734411,87,447,442,224916,20336,15215
0.48,0.767,58,6.019,734500,734412,58,114,107,54456,6660,3324
0.37,2.563,18,20.928,734500,734413,29,34,20,11412,1198,398
0.46,2.219,25,14.922,734496,734414,28,36,31,28376,3073,1181
0.49,0.056,89,3.002,734501,734411,89,1592,1503,837452,74359,53561
0.57,0.402,83,14.049,734501,734412,85,294,391,234012,15977,15442
0.4,1.405,19,12.046,734499,734433,34,45,30,56484,1478,1431
0.47,3.552,15,12.099,734500,734429,18,19,17,12040,620,826
0.6,1.314,41,5.018,734500,734411,47,46,68,49480,1588,2271
0.69,1.676,33,12.935,734494,734412,39,22,49,37896,779,2778
0.48,0.129,86,3.008,734502,734411,89,692,647,345596,30625,23916
0.67,4.693,13,23.953,734488,734413,19,8,16,142016,320,373
0.49,0.401,78,3.011,734502,734411,79,222,213,125724,9025,9258
0.47,2.787,23,13.901,734501,734412,26,31,28,103364,998,546
0.56,0.949,50,4.883,734500,734411,52,75,94,72764,2886,3261
0.45,1.493,33,8.024,734501,734416,38,57,47,52252,1808,1455
