Call Ratio,Average Call Distance,Life,Max Distance,Max Date,Min Date,No of Days,Total No In,Total No Out,Total Cost,Total Duration In,Total Duration Out
0.45,5.791,11,25.984,734499,734418,16,18,15,11072,402,547
0.46,4.238,12,15.953,734500,734428,16,21,18,41616,1238,4128
0.47,2.605,27,9.033,734490,734412,27,35,31,32500,1337,1447
0.5,6.589,11,18.069,734497,734418,11,13,13,113396,824,468
0.47,4.804,15,15.07,734495,734423,15,18,16,44916,1030,1956
0.57,1.894,32,11.065,734499,734412,34,35,47,47992,2727,1843
0.42,0.116,90,3.009,734502,734411,94,1101,788,456192,52995,31049
0.59,0.833,50,5.017,734499,734411,50,75,107,73156,4523,4591
0.49,0.622,54,4.015,734502,734411,60,156,148,91776,7343,6519
0.36,0.834,50,8.085,734499,734411,56,189,107,52232,7196,3858
0.45,3.379,21,12.898,734497,734416,21,24,20,8996,892,536
0.45,5.272,10,14.058,734499,734441,14,11,9,3332,175,229
0.46,2.505,24,8.093,734497,734412,26,34,29,9860,1507,562
0.43,5.445,10,32.015,734501,734414,14,16,12,8388,904,465
0.42,2.553,18,14.143,734501,734427,19,29,21,45216,1174,744
0.4,6.924,9,20.074,734500,734417,12,12,8,23720,516,382
0.55,1.883,22,16.05,734497,734418,24,34,42,44072,2239,1408
0.59,0.455,68,6.013,734502,734412,72,138,198,110520,5374,8127
0.48,0.557,62,4.016,734502,734413,66,153,141,116020,6813,6510
0.51,0.885,58,5.015,734500,734411,60,96,101,73180,4113,4970
0.38,7.394,4,48.119,734471,734412,5,8,5,467840,333,174
0.53,0.868,59,4.014,734501,734411,63,93,104,66896,3580,4179
0.45,3.613,18,12.04,734499,734416,20,23,19,13536,582,610
0.47,0.028,90,3.003,734502,734411,94,3168,2848,1496436,145400,113406
0.56,0.749,55,3.844,734499,734411,58,92,118,87468,3012,5010
0.43,1.415,30,11.833,734490,734411,34,56,43,54384,2073,1249
0.41,4.778,13,19.962,734492,734411,14,17,12,25196,776,583
0.57,3.243,18,13.931,734499,734418,19,19,25,54072,1154,1468
0.5,0.305,77,3.008,734502,734411,77,298,297,173316,13363,11708
0.53,1.048,51,8.024,734502,734412,54,76,86,65380,2481,4646
0.59,0.426,75,3.011,734500,734411,76,145,210,146152,6367,9971
0.43,2.648,22,10.044,734499,734417,26,31,23,41984,1961,860
0.44,1.663,33,10.044,734502,734414,40,53,42,45036,2952,1121
0.48,3.435,20,20.972,734500,734411,22,26,24,10964,972,717
0.5,0.51,68,5.014,734500,734411,70,173,173,101288,7658,7211
0.32,0.175,76,3.008,734500,734411,76,509,244,134744,23414,8808
0.45,3.876,12,17.299,734491,734429,14,16,13,21760,751,475
0.56,4.12,15,24.116,734489,734411,19,15,19,286316,697,598
0.48,2.328,25,15.911,734499,734413,27,37,34,16644,1760,973
0.62,0.787,55,7.1,734500,734412,58,70,112,51284,3378,3668
0.47,0.04,90,3.008,734502,734411,94,2230,1997,1059848,114742,76030
0.54,1.574,32,7.903,734501,734413,33,48,56,54420,2160,1955
0.44,2.074,26,13.931,734501,734414,27,42,33,56148,1547,1109
0.47,2.15,30,8.92,734501,734411,34,42,37,28012,1950,1372
0.51,0.544,52,6.903,734502,734411,55,160,168,156104,6547,8160
0.49,0.439,69,4.007,734502,734411,76,204,194,145172,11572,10713
0.54,1.771,37,10.031,734501,734411,40,44,51,45864,1790,1852
0.38,0.362,63,5.894,734502,734411,66,250,154,101832,12508,7427
0.51,1.173,40,6.026,734501,734412,45,73,76,63584,4525,2509
0.5,0.504,69,4.005,734502,734412,70,177,175,139924,6564,6356
0.43,0.791,47,8.03,734502,734412,57,113,84,215308,4052,4225
0.54,0.519,62,5.018,734500,734411,64,147,172,95740,6107,6222
0.45,0.21,85,3.01,734502,734411,88,428,353,259164,23141,16933
0.51,0.103,89,3.003,734502,734411,90,852,884,488828,33022,36530
0.56,7.225,7,28.988,734490,734425,8,7,9,59092,449,252
0.46,3.004,17,23.113,734495,734414,23,27,23,33704,1603,776
0.51,4.686,16,15.947,734495,734411,17,17,18,11248,700,640
0.68,0.288,61,5.015,734501,734411,65,150,314,192284,5857,14093
0.51,1.013,48,4.019,734499,734413,54,83,85,51352,3057,3983
0.4,2.597,16,25.934,734500,734417,27,32,21,57660,1376,643
0.54,3.19,26,11.917,734499,734413,26,23,27,18092,1398,910
0.51,1.164,42,7.022,734500,734414,49,71,74,39284,3519,2178
0.53,0.263,82,3.01,734501,734411,86,309,344,209468,14215,13233
0.47,1.3,37,6.026,734501,734414,40,63,56,114484,2447,1552
0.5,1.441,50,5.021,734500,734411,53,60,59,42260,3856,1703
0.39,0.504,53,5.828,734501,734412,62,177,114,171388,7489,6617
0.31,1.933,4,19.21,734432,734411,8,11,5,11844,360,156
0.5,0.111,90,3.009,734502,734411,94,806,806,402860,43363,25292
0.52,0.493,72,3.013,734502,734411,74,171,185,75236,7816,5155
0.49,0.156,88,3.009,734502,734411,92,579,559,233460,26411,17392
0.48,0.903,55,6.028,734500,734411,57,97,88,78568,4334,3006
0.52,0.226,87,3.01,734501,734411,87,372,400,167796,14691,12033
0.49,0.843,51,6.008,734500,734411,53,104,101,66892,3591,4293
0.42,2.317,23,14.06,734498,734417,27,35,25,37940,1102,2716
0.43,0.325,77,3.01,734502,734411,81,276,211,278936,10958,6785
0.47,0.922,46,6.014,734501,734411,54,96,86,46932,5573,2861
0.46,5.003,12,28.965,734479,734414,12,13,11,12452,484,692
0.55,1.667,34,8.029,734499,734411,34,44,53,51696,2075,2913
0.48,0.07,89,3.003,734502,734411,89,1276,1194,659108,61392,48067
0.41,1.547,27,10.029,734500,734412,37,57,39,16436,2619,1032
0.38,2.658,16,18.725,734495,734418,22,29,18,5344,1197,272
0.59,1.633,31,10.039,734500,734412,35,38,54,32108,1724,1564
0.51,0.584,59,6.011,734500,734411,65,148,153,177772,6723,6279
0.45,1.795,27,9.028,734498,734412,27,48,40,18508,2614,1154
0.46,5.504,12,15.934,734500,734423,13,13,11,55208,335,806
0.49,1.102,40,10.045,734501,734413,45,79,75,45600,5926,2686
0.44,0.098,90,3.01,734502,734411,94,906,716,338920,40942,24860
0.31,1.003,5,6.019,734440,734431,7,9,4,15044,457,292
0.46,0.306,71,4.011,734500,734411,77,287,242,151772,11130,10563
0.53,1.632,34,9.039,734501,734413,39,48,54,51208,1949,1359
0.6,2.214,31,9.032,734496,734412,34,25,38,30940,1040,1523
0.48,0.809,49,8.015,734500,734412,57,108,101,70608,4281,4158
0.34,0.805,38,5.899,734500,734411,50,111,56,23892,4541,1750
0.51,0.388,71,4.018,734499,734411,76,218,228,110732,9163,7915
0.53,0.647,58,4.017,734500,734411,60,121,138,93220,4789,4289
0.47,2.811,24,11.91,734500,734413,24,31,27,16224,1145,698
0.44,2.184,26,12.044,734498,734411,30,40,31,17312,1292,822
0.43,3.041,18,14.94,734502,734423,22,26,20,181600,1022,762
0.53,0.541,75,3.008,734500,734412,78,145,163,111536,6944,7389
0.48,1.131,44,9.038,734500,734411,53,79,72,68768,3891,2629
0.48,1.144,31,11.854,734500,734428,40,63,57,52776,3431,2119
0.51,0.073,89,3.008,734502,734411,89,1219,1259,626204,54532,45142
0.53,0.884,57,4.013,734500,734411,58,91,101,85168,3906,3120
0.51,0.327,73,3.009,734502,734411,74,272,279,127164,14939,8722
0.46,0.754,54,9.025,734500,734412,62,117,100,109036,4711,2749
0.44,1.434,38,8.806,734501,734411,44,63,50,32492,1932,1517
0.52,0.398,87,63.008,734502,734411,87,362,388,151444,14904,10572
0.45,2.375,18,10.92,734496,734439,20,24,20,52764,585,751
0.51,0.131,86,3.006,734501,734411,88,661,691,323988,28477,22071
0.55,1.497,43,6.019,734499,734411,44,49,59,39292,1780,2582
0.53,1.785,32,10.042,734496,734414,33,41,46,31720,1591,1112
0.44,0.193,85,3.01,734500,734411,87,449,360,153440,21685,10759
0.48,0.807,60,5.02,734500,734413,61,108,99,62440,4387,4084
0.45,1.326,47,9.878,734502,734412,50,65,54,22968,3333,1469
0.49,0.51,66,6.015,734499,734412,69,168,160,67836,6493,4554
0.49,0.784,59,6.043,734500,734411,60,114,109,43300,4007,2748
0.46,2.192,24,13.054,734496,734415,30,35,30,49064,1345,1827
0.36,1.356,31,7.031,734500,734412,40,65,36,25316,2445,1572
0.37,2.131,18,8.033,734499,734416,30,39,23,30796,1860,900
0.44,1.438,36,7.635,734502,734423,38,55,44,25108,2089,1253
0.48,0.514,70,4.011,734500,734411,74,172,160,137024,7880,6505
0.26,1.06,21,15.074,734501,734419,40,78,27,21284,3662,865
0.55,0.676,56,5.02,734502,734411,60,110,135,100308,5559,5814
0.47,1.219,34,9.025,734499,734415,44,69,61,28560,3031,1577
0.47,0.266,66,4.033,734499,734411,71,332,300,257984,13977,11318
0.48,0.991,57,5.028,734501,734412,59,89,83,114816,3493,4284
0.53,0.922,55,7.022,734502,734411,56,88,99,63268,4714,3838
0.46,2.033,20,14.915,734490,734427,24,31,26,128780,2033,877
0.49,0.128,88,3.008,734502,734411,88,697,673,423192,34277,26492
0.5,0.281,82,3.014,734502,734411,83,313,308,369512,13026,13804
0.4,1.263,31,11.048,734501,734414,45,68,45,182696,2344,1200
0.5,0.114,90,3.007,734502,734411,94,783,781,539980,36135,30811
0.5,0.171,90,3.008,734502,734411,91,517,525,291824,23700,17384
0.48,0.074,89,3.006,734501,734411,93,1204,1108,597764,61824,43307
0.46,0.064,89,3.006,734502,734411,89,1403,1208,616024,68705,43784
0.51,0.131,87,3.003,734502,734411,89,668,695,413304,36632,30249
0.48,0.154,87,3.006,734502,734411,89,579,524,248616,25547,16070
0.54,1.297,43,13.068,734500,734412,45,58,68,111988,2094,2690
0.45,1.656,38,15.073,734500,734414,39,52,42,120768,2428,3152
0.43,1.27,37,8.033,734497,734411,45,64,49,96568,2294,1596
0.49,0.481,75,4.011,734502,734411,77,189,182,152552,7321,8221
0.48,0.124,90,3.004,734502,734411,94,712,667,486984,34013,21830
0.49,0.145,84,3.006,734501,734411,89,608,591,573596,24814,23862
0.52,0.164,86,3.01,734502,734411,89,507,556,274352,21294,20024
0.49,0.486,69,4.014,734502,734411,72,188,178,92164,8314,6318
